date,region,category,product,customer_segment,units_sold,unit_price,revenue,cost
2025-08-18,West,Electronics,Laptop Stand,Corporate,39,64.08,2499.12,1157.18
2025-07-13,West,Apparel,Rain Jacket,Consumer,21,165.88,3483.48,2304.56
2025-03-02,West,Electronics,Wireless Earbuds,Small Business,19,107.51,2042.69,1189.13
2025-09-08,North,Electronics,Smart Watch,Consumer,58,14.66,850.28,466.91
2025-06-25,West,Apparel,Running Shoes,Corporate,25,77.4,1935.0,1134.7
2025-03-24,East,Electronics,Wireless Earbuds,Corporate,50,35.73,1786.5,1329.05
2025-02-09,West,Sports,Bike Helmet,Small Business,38,64.9,2466.2,1739.94
2025-07-07,South,Apparel,Rain Jacket,Small Business,11,64.19,706.09,502.55
2025-09-14,North,Electronics,4K Monitor,Consumer,46,41.58,1912.68,1176.78
2025-07-28,North,Toys,Board Game,Corporate,1,207.86,207.86,112.16
2025-07-14,South,Sports,Bike Helmet,Consumer,7,,199.85,
2025-01-06,South,Apparel,Rain Jacket,Corporate,31,53.31,1652.61,942.5
2025-08-04,South,Home & Garden,Garden Hose,Small Business,42,87.17,3661.14,2635.6
2025-02-08,West,Electronics,Wireless Earbuds,Consumer,26,162.38,4221.88,2913.85
2025-02-28,West,Sports,Yoga Mat,Corporate,23,,2175.11,1188.3
2025-08-21,North,Toys,Board Game,Corporate,4,47.77,191.08,106.72
2025-04-28,South,Apparel,Yoga Pants,Corporate,9,97.44,876.96,467.91
2025-08-23,East,Electronics,USB-C Hub,Corporate,7,99.91,699.37,390.71
2025-02-28,South,Sports,Yoga Mat,Consumer,33,212.65,7017.45,3856.78
2025-03-28,North,Sports,Water Bottle,Small Business,43,13.75,591.25,380.07
2025-02-25,East,Apparel,Denim Jacket,Consumer,43,48.94,2104.42,1154.23
2025-05-28,South,Electronics,4K Monitor,Small Business,54,140.98,7612.92,3658.54
2025-10-25,North,Toys,RC Car,Consumer,14,164.58,2304.12,1227.98
2025-08-05,North,Sports,Tennis Racket,Small Business,44,,7797.24,5202.74
2025-07-23,South,Sports,Bike Helmet,Corporate,51,11.66,594.66,320.09
2025-02-24,East,Sports,Yoga Mat,Small Business,59,78.0,4602.0,2504.29
2025-05-07,East,Toys,Puzzle Set,Small Business,28,154.35,4321.8,2537.12
2025-01-04,East,Home & Garden,Wall Clock,Corporate,44,216.0,9504.0,5805.66
2025-06-19,North,Sports,Yoga Mat,Small Business,19,183.83,3492.77,2219.85
2025-01-20,East,Toys,Board Game,Small Business,24,30.97,743.28,386.61
2025-05-06,East,Toys,Building Blocks,Consumer,31,118.02,3658.62,2131.76
2025-12-18,South,Home & Garden,Wall Clock,Corporate,31,125.34,3885.54,2149.2
2025-10-09,West,Home & Garden,Ceramic Planter,Small Business,52,82.69,4299.88,2756.16
2025-09-02,South,Home & Garden,Garden Hose,Small Business,32,69.1,2211.2,1622.04
2025-08-12,South,Electronics,USB-C Hub,Consumer,55,107.79,5928.45,3022.75
2025-04-15,North,Toys,RC Car,Consumer,9,108.39,975.51,472.46
2025-12-05,South,Electronics,Wireless Earbuds,Corporate,51,101.45,5173.95,3227.88
2025-03-22,East,Home & Garden,Ceramic Planter,Small Business,46,74.61,3432.06,1817.91
2025-02-20,South,Toys,Board Game,Small Business,44,176.01,7744.44,3879.93
2025-01-25,North,Electronics,Smart Watch,Small Business,54,,10283.22,6438.7
2025-05-08,East,Sports,Yoga Mat,Consumer,60,84.95,5097.0,3800.3
2025-08-12,East,Toys,Plush Toy,Small Business,32,191.44,6126.08,3577.41
2025-12-11,North,Home & Garden,Garden Hose,Corporate,5,52.73,263.65,193.22
2025-04-27,East,Toys,RC Car,Small Business,21,186.68,3920.28,2676.77
2025-05-13,South,Sports,Bike Helmet,Small Business,48,199.39,9570.72,6074.1
2025-09-08,North,Electronics,Smart Watch,Consumer,58,14.66,850.28,466.91
2025-03-08,North,Toys,Building Blocks,Consumer,41,52.74,2162.34,1401.47
2025-02-24,East,Sports,Yoga Mat,Small Business,59,78.0,4602.0,2504.29
2025-12-26,East,Apparel,Yoga Pants,Corporate,3,30.98,92.94,53.94
2025-08-13,North,Sports,Bike Helmet,Small Business,37,49.22,1821.14,1199.96
2025-06-07,North,Sports,Tennis Racket,Corporate,41,184.83,7578.03,3779.89
2025-07-05,East,Electronics,Wireless Earbuds,Corporate,51,19.9,1014.9,565.85
2025-09-25,South,Sports,Dumbbell Set,Small Business,34,212.68,7231.12,3839.9
2025-12-06,West,Sports,Dumbbell Set,Small Business,31,176.27,5464.37,4032.43
2025-11-17,East,Apparel,Rain Jacket,Small Business,46,72.13,3317.98,2472.41
2025-06-18,South,Home & Garden,Garden Hose,Consumer,46,68.57,3154.22,1676.51
2025-11-09,West,Toys,RC Car,Corporate,59,,7766.17,4035.74
2025-06-19,North,Sports,Yoga Mat,Small Business,19,183.83,3492.77,2219.85
2025-07-23,North,Toys,Building Blocks,Corporate,37,151.6,5609.2,4136.51
2025-01-03,North,Sports,Water Bottle,Consumer,4,146.25,585.0,358.12
2025-12-10,West,Sports,Yoga Mat,Consumer,25,129.25,3231.25,2011.27
2025-09-18,West,Electronics,USB-C Hub,Small Business,20,156.34,3126.8,2291.33
2025-07-20,West,Electronics,Wireless Earbuds,Consumer,10,141.02,1410.2,969.69
2025-12-08,East,Toys,Plush Toy,Corporate,30,205.76,6172.8,4388.12
2025-09-16,South,Sports,Bike Helmet,Corporate,49,60.41,2960.09,1898.3
2025-03-14,West,Toys,RC Car,Consumer,56,42.45,2377.2,1640.19
2025-11-08,North,Apparel,Wool Sweater,Small Business,19,157.03,2983.57,1749.0
2025-06-15,North,Home & Garden,Throw Blanket,Consumer,28,174.58,4888.24,3089.36
2025-10-28,East,Apparel,Denim Jacket,Consumer,2,17.8,35.6,
2025-08-13,East,Electronics,4K Monitor,Small Business,11,,1333.64,698.08
2025-07-20,South,Apparel,Yoga Pants,Corporate,6,218.71,1312.26,637.15
2025-02-15,West,Home & Garden,LED Lamp,Corporate,58,68.98,4000.84,2456.43
2025-02-14,North,Apparel,Denim Jacket,Consumer,25,155.12,3878.0,2566.95
2025-12-10,East,Toys,RC Car,Small Business,5,142.71,713.55,420.48
2025-11-02,East,Sports,Yoga Mat,Consumer,26,,24408.29,1818.54
2025-08-06,South,Electronics,USB-C Hub,Consumer,49,142.35,6975.15,4964.73
2025-04-28,South,Electronics,Wireless Earbuds,Small Business,15,171.89,2578.35,1922.33
2025-01-20,North,Sports,Tennis Racket,Consumer,37,191.39,7081.43,4840.11
2025-04-01,South,Apparel,Running Shoes,Corporate,2,132.72,265.44,137.77
2025-01-25,South,Toys,Board Game,Consumer,29,132.92,3854.68,2670.63
2025-11-14,East,Toys,Board Game,Corporate,58,200.53,11630.74,5411.08
2025-04-27,East,Apparel,Running Shoes,Small Business,3,167.9,503.7,370.16
2025-07-23,West,Electronics,USB-C Hub,Corporate,60,174.22,10453.2,6130.83
2025-05-27,East,Toys,RC Car,Corporate,8,123.45,987.6,636.3
2025-10-10,South,Electronics,Wireless Earbuds,Consumer,51,73.21,3733.71,2519.09
2025-09-28,North,Home & Garden,Ceramic Planter,Small Business,16,149.39,2390.24,1329.22
2025-10-01,North,Toys,Board Game,Consumer,2,27.86,55.72,28.96
2025-11-17,East,Toys,RC Car,Small Business,59,30.56,1803.04,1149.6
2025-02-03,South,Sports,Tennis Racket,Corporate,10,53.65,536.5,364.31
2025-12-16,West,Electronics,Smart Watch,Corporate,36,35.77,1287.72,690.74
2025-09-12,North,Apparel,Denim Jacket,Small Business,47,150.97,7095.59,4038.98
2025-01-22,North,Sports,Bike Helmet,Small Business,30,120.17,3605.1,2672.55
2025-06-26,North,Home & Garden,Wall Clock,Small Business,10,99.11,991.1,458.43
2025-09-15,East,Sports,Water Bottle,Small Business,58,115.01,6670.58,4663.87
2025-02-19,North,Apparel,Running Shoes,Small Business,5,151.15,755.75,393.41
2025-02-15,East,Apparel,Wool Sweater,Corporate,52,70.57,3669.64,2609.55
2025-07-16,West,Toys,Plush Toy,Small Business,58,54.75,3175.5,1638.01
2025-12-18,North,Electronics,Laptop Stand,Consumer,15,37.58,563.7,271.0
2025-04-12,South,Toys,Puzzle Set,Consumer,60,81.99,4919.4,2315.25
2025-08-28,West,Apparel,Rain Jacket,Small Business,40,149.66,5986.4,3298.02
2025-04-22,North,Home & Garden,Wall Clock,Small Business,41,139.28,5710.48,2729.7
2025-09-05,East,Toys,Puzzle Set,Small Business,27,77.15,2083.05,
2025-11-07,West,Electronics,4K Monitor,Small Business,44,160.52,7062.88,4750.39
2025-01-20,South,Apparel,Wool Sweater,Consumer,35,210.14,7354.9,5345.03
2025-05-02,East,Sports,Water Bottle,Small Business,8,89.66,717.28,446.85
2025-03-02,East,Electronics,Wireless Earbuds,Small Business,31,114.6,3552.6,2507.48
2025-12-17,South,Apparel,Running Shoes,Consumer,50,98.13,4906.5,2466.82
2025-10-23,East,Apparel,Rain Jacket,Consumer,23,177.14,4074.22,2249.38
2025-03-17,East,Toys,Board Game,Small Business,26,84.74,2203.24,1650.66
